time,month,Cindex,Eindex
1895-02-15 00:00:00.000000000,2,-0.11006532,-0.49984744
1895-03-16 12:00:00.000000000,3,-0.016222743,-0.55956966
1895-04-16 00:00:00.000000000,4,-0.26721704,-0.036840446
1895-05-16 12:00:00.000000000,5,-0.29268515,0.2799358
1895-06-16 00:00:00.000000000,6,0.15308098,-0.25497302
1895-07-16 12:00:00.000000000,7,0.17701341,-0.10813512
1895-08-16 12:00:00.000000000,8,0.8976828,0.22798066
1895-09-16 00:00:00.000000000,9,0.6350217,0.5070727
1895-10-16 12:00:00.000000000,10,0.08552123,1.0148898
1895-11-16 00:00:00.000000000,11,0.31493646,0.9395197
1895-12-16 12:00:00.000000000,12,0.053432934,1.0909601
1896-01-16 12:00:00.000000000,1,-0.04569945,0.8150742
1896-02-15 12:00:00.000000000,2,-0.09351151,0.52224195
1896-03-16 12:00:00.000000000,3,0.33974862,0.14275019
1896-04-16 00:00:00.000000000,4,0.3205284,0.11200334
1896-05-16 12:00:00.000000000,5,0.5242052,0.2319315
1896-06-16 00:00:00.000000000,6,-0.24436165,0.7593274
1896-07-16 12:00:00.000000000,7,0.8843426,0.5713249
1896-08-16 12:00:00.000000000,8,1.0839295,1.4034293
1896-09-16 00:00:00.000000000,9,1.0501065,1.441572
1896-10-16 12:00:00.000000000,10,0.7565006,1.4788547
1896-11-16 00:00:00.000000000,11,1.1829294,2.1240523
1896-12-16 12:00:00.000000000,12,0.9172024,2.176111
1897-01-16 12:00:00.000000000,1,0.97258896,1.8132099
1897-02-15 00:00:00.000000000,2,0.89153093,1.4023427
1897-03-16 12:00:00.000000000,3,0.52190095,1.1633878
1897-04-16 00:00:00.000000000,4,0.47100934,0.23364918
1897-05-16 12:00:00.000000000,5,0.5084419,0.27698696
1897-06-16 00:00:00.000000000,6,0.5442657,0.17000191
1897-07-16 12:00:00.000000000,7,0.6735494,0.050836876
1897-08-16 12:00:00.000000000,8,0.8665928,-0.2706712
1897-09-16 00:00:00.000000000,9,0.8319314,-0.51456255
1897-10-16 12:00:00.000000000,10,0.5715182,-0.45502463
1897-11-16 00:00:00.000000000,11,-0.23776682,-0.115958594
1897-12-16 12:00:00.000000000,12,-0.3089639,-0.110955335
1898-01-16 12:00:00.000000000,1,-0.71158737,-0.008249171
1898-02-15 00:00:00.000000000,2,-0.52254695,-0.2487762
1898-03-16 12:00:00.000000000,3,-0.4696146,-0.4979125
1898-04-16 00:00:00.000000000,4,-0.07282484,-0.62679243
1898-05-16 12:00:00.000000000,5,0.06892279,-0.6638875
1898-06-16 00:00:00.000000000,6,0.15967922,-0.5600304
1898-07-16 12:00:00.000000000,7,-0.6587105,0.23402314
1898-08-16 12:00:00.000000000,8,-0.9288668,0.3236108
1898-09-16 00:00:00.000000000,9,-0.26073298,-0.09738491
1898-10-16 12:00:00.000000000,10,0.00065730384,0.061012875
1898-11-16 00:00:00.000000000,11,-0.5588433,0.14897853
1898-12-16 12:00:00.000000000,12,-0.8720865,0.1644817
1899-01-16 12:00:00.000000000,1,-1.1537435,0.51101434
1899-02-15 00:00:00.000000000,2,-0.84225553,0.11904533
1899-03-16 12:00:00.000000000,3,-0.72878957,0.3614781
1899-04-16 00:00:00.000000000,4,-0.4540929,0.34377924
1899-05-16 12:00:00.000000000,5,0.03274629,0.512291
1899-06-16 00:00:00.000000000,6,-0.14114279,0.7426312
1899-07-16 12:00:00.000000000,7,0.61819214,-0.20986581
1899-08-16 12:00:00.000000000,8,0.6350258,1.3147594
1899-09-16 00:00:00.000000000,9,-0.0032022332,1.7372426
1899-10-16 12:00:00.000000000,10,0.964782,1.2639695
1899-11-16 00:00:00.000000000,11,1.4688017,1.261709
1899-12-16 12:00:00.000000000,12,1.7263788,1.070794
1900-01-16 12:00:00.000000000,1,1.2259415,1.6825798
1900-02-15 00:00:00.000000000,2,0.90507203,1.8150947
1900-03-16 12:00:00.000000000,3,0.75574976,1.6663654
1900-04-16 00:00:00.000000000,4,1.0012972,0.93180597
1900-05-16 12:00:00.000000000,5,1.1446811,0.6593929
1900-06-16 00:00:00.000000000,6,1.087587,0.88780326
1900-07-16 12:00:00.000000000,7,1.3285562,0.5269169
1900-08-16 12:00:00.000000000,8,1.4295791,0.15956055
1900-09-16 00:00:00.000000000,9,1.5774752,-0.088382445
1900-10-16 12:00:00.000000000,10,1.5284482,-0.38459712
1900-11-16 00:00:00.000000000,11,1.2948531,-0.4867557
1900-12-16 12:00:00.000000000,12,1.8887049,-0.5176025
1901-01-16 12:00:00.000000000,1,1.7582135,-0.17081149
1901-02-15 00:00:00.000000000,2,1.1677356,-0.45132592
1901-03-16 12:00:00.000000000,3,1.1097637,-0.7277574
1901-04-16 00:00:00.000000000,4,1.098033,-0.86050093
1901-05-16 12:00:00.000000000,5,1.1159433,-1.1425945
1901-06-16 00:00:00.000000000,6,0.7090251,-0.9580084
1901-07-16 12:00:00.000000000,7,0.7659307,-0.85921466
1901-08-16 12:00:00.000000000,8,0.997188,-0.93415415
1901-09-16 00:00:00.000000000,9,0.11357672,-0.31506196
1901-10-16 12:00:00.000000000,10,0.07139656,-0.036794316
1901-11-16 00:00:00.000000000,11,-0.50724685,0.7022078
1901-12-16 12:00:00.000000000,12,-0.33559808,0.6389601
1902-01-16 12:00:00.000000000,1,-0.2864412,0.5936003
1902-02-15 00:00:00.000000000,2,0.06456042,0.42798242
1902-03-16 12:00:00.000000000,3,-0.5136108,1.0846803
1902-04-16 00:00:00.000000000,4,0.8014724,0.36495495
1902-05-16 12:00:00.000000000,5,1.4584485,0.2962157
1902-06-16 00:00:00.000000000,6,0.81883967,1.464291
1902-07-16 12:00:00.000000000,7,1.3049754,1.7430038
1902-08-16 12:00:00.000000000,8,1.214811,1.2939665
1902-09-16 00:00:00.000000000,9,1.1591287,1.5131859
1902-10-16 12:00:00.000000000,10,1.2526646,2.0338314
1902-11-16 00:00:00.000000000,11,1.2085974,1.9063715
1902-12-16 12:00:00.000000000,12,1.1606667,1.269305
1903-01-16 12:00:00.000000000,1,1.5089557,0.6696022
1903-02-15 00:00:00.000000000,2,2.340004,-0.91402406
1903-03-16 12:00:00.000000000,3,2.0444438,-0.6035086
1903-04-16 00:00:00.000000000,4,1.6446626,-1.055698
1903-05-16 12:00:00.000000000,5,1.0428641,-0.825195
1903-06-16 00:00:00.000000000,6,1.1585741,-0.28722286
1903-07-16 12:00:00.000000000,7,0.7029402,-0.9417814
1903-08-16 12:00:00.000000000,8,1.1397926,-1.3566694
1903-09-16 00:00:00.000000000,9,0.7307599,-1.263198
1903-10-16 12:00:00.000000000,10,0.31135103,-0.9919875
1903-11-16 00:00:00.000000000,11,0.06314626,-0.88118017
1903-12-16 12:00:00.000000000,12,0.045787957,-1.270955
1904-01-16 12:00:00.000000000,1,-1.2598052,0.35600355
