conflict_id,year,latitude,longitude,coder
309,1983,6.5,32.34999847,Helge Holtermann
309,2020,12.992,24.131,Tyler
310,1971,-21,45,Helge Holtermann
311,1971,33.85361099,-7.035555363,Helge Holtermann
312,1971,22.36361122,91.8033371,Helge Holtermann
313,1971,6.733333111,81.09999847,Helge Holtermann
313,1989,7,81,Helge Holtermann
314,1971,0.316599995,32.58330154,Helge Holtermann
314,1974,0.315659,32.579887,Tyler
314,1979,-1.214825,31.304211,Tyler
314,1994,2.783299923,32.29999924,Helge Holtermann
314,2013,8.527696,23.249866,Tyler
315,1971,54.59999847,-5.933333397,Helge Holtermann
315,1998,54.59999847,-7.300000191,Helge Holtermann
316,1972,13.70860004,-89.20310211,Helge Holtermann
316,1979,13.70860004,-89.20310211,Helge Holtermann
317,1969,16.74875,53.421704,Tyler
318,1967,-17.398443,30.198016,Tyler
318,1973,-17.398443,30.198016,Tyler
319,1972,-34.85800171,-56.17100143,Helge Holtermann
320,1972,16.125878,47.441995,Tyler
320,1979,14.64,45.210093,Tyler
321,1973,-33.45000076,-70.66670227,Helge Holtermann
322,1975,22.502443,92.226044,Tyler
323,1974,35.124927,33.431198,Tyler
324,1974,30.459475,48.024002,Tyler
324,1980,30.932339,48.099931,Tyler
325,1974,28,66,Helge Holtermann
325,2004,27.16699982,66.33300018,Helge Holtermann
325,2006,28.478488,65.643553,Tyler
325,2011,26.116667,62.066667,Tyler
325,2019,25.121389,62.325278,Tyler
326,1997,15.10000038,36.70000076,Helge Holtermann
326,1999,15.052312,39.861353,Tyler
326,2003,15.10000038,36.70000076,Helge Holtermann
327,1975,-12.5,18.5,Helge Holtermann
327,1998,-11.93330002,16.60000038,Helge Holtermann
328,1975,12.831855,107.373295,Tyler
329,1964,9.599471,43.334456,Tyler
329,1976,8,44,Helge Holtermann
329,1993,7.666667,42.83333,Tyler
329,1996,8,44,Helge Holtermann
329,1998,7,44,Tyler
330,1975,-8.558600426,125.5736008,Helge Holtermann
330,1992,-8.833330154,125.75,Helge Holtermann
330,1997,-8.833330154,125.75,Helge Holtermann
331,1975,28,-11,Helge Holtermann
332,1977,-19.5,33,Helge Holtermann
332,2013,-19.211562,34.724944,Tyler
332,2016,-17.593611,33.266667,Tyler
332,2018,-10.589609,40.340574,Tyler
333,1978,34.51666641,69.18333435,Helge Holtermann
334,1974,16.235471,111.694472,Tyler
334,1978,-9999,-9999,Tyler
334,1983,22.862043,105.913176,Tyler
334,1986,23.096711,105.274738,Tyler
335,1979,23.569979,91.655723,Tyler
335,1992,24,92,Helge Holtermann
335,1997,23.916667,91.5,Tyler
335,1999,24,92,Tyler
336,1977,12.133909,-86.239975,Tyler
336,1982,12.09664,-86.314837,Tyler
337,1982,7.599999905,48.5,Helge Holtermann
337,1986,10.115612,47.747406,Tyler
337,2001,2.066666603,45.36666489,Helge Holtermann
337,2006,1.083333254,42.58333206,Helge Holtermann
338,1979,32,53,Helge Holtermann
338,1986,31.999203,45.840563,Tyler
338,1991,34.683333,44.966667,Tyler
338,1993,33.266667,46.4,Tyler
338,1997,34.29999924,47.09999847,Helge Holtermann
338,1999,31.320278,48.669167,Tyler
338,2005,37.55250168,45.07580185,Helge Holtermann
338,2018,35.4583,46.3417,Tyler
338,2023,26.23682,61.39901,Tyler
339,1979,31.32900047,48.69100189,Helge Holtermann
340,1979,21.42560005,39.83779907,Helge Holtermann
341,1980,6.310599804,-10.8046999,Helge Holtermann
341,1989,7.079999924,-8.449999809,Helge Holtermann
341,2000,7.777699947,-9.432700157,Helge Holtermann
342,1978,42.871474,-2.664215,Tyler
342,1985,43.017244,-2.635632,Tyler
342,1991,43.29299927,-1.95599997,Helge Holtermann
343,1980,34.42499924,8.784166336,Helge Holtermann
343,2013,35.183333,8.65,Tyler
344,1981,13.45305538,-16.57749939,Helge Holtermann
345,1981,-25.737739,28.200884,Tyler
345,1985,-26.289762,28.188649,Tyler
346,1982,-51.804142,-59.835181,Tyler
347,1982,25.24166679,94.03333282,Helge Holtermann
347,1993,24.790381,93.94411,Tyler
347,1998,24.799508,93.98513,Tyler
347,2003,25,94,Helge Holtermann
348,1982,-0.066,37.03300095,Helge Holtermann
349,1983,13.10089,14.447776,Tyler
350,1983,12.112965,-61.680865,Tyler
351,1983,30.89999962,75.84999847,Helge Holtermann
352,1984,9.682999611,80.01999664,Helge Holtermann
352,2003,6.8523,79.8656,Tyler
352,2005,9.6567,80.0137,Tyler
353,1960,5.25,10.5,Helge Holtermann
353,1984,3.989975,9.877144,Tyler
353,2015,11.1621,14.01151,Tyler
353,2020,11.1468,13.89296,Tyler
353,2022,11.003459,13.941092,Tyler
354,1984,37.52999878,43.38000107,Helge Holtermann
354,2015,37.075333,41.215694,Tyler
355,1985,13.605291,-2.768711,Tyler
356,1986,17.995707,103.067434,Tyler
357,1987,5.782054,-55.184201,Tyler
358,1986,6.13194418,1.222777843,Helge Holtermann
358,2022,10.975,0.637,Tyler
359,1986,16.431631,49.716791,Tyler
360,1987,12.3702774,-1.524722219,Helge Holtermann
360,2018,12.370278,-1.524722,Tyler
361,1987,21.816424,17.428051,Tyler
362,1989,-11.70400047,43.24000168,Helge Holtermann
363,1975,11.574438,41.436788,Tyler
363,1996,12,41.5,Helge Holtermann
364,1990,33.91667,76.66667,Tyler
365,1990,26,93,Helge Holtermann
365,1994,26,93,Helge Holtermann
366,1990,4,97,Helge Holtermann
366,1999,4,97,Helge Holtermann
367,1989,8.966667175,-79.53333282,Helge Holtermann
368,1989,8.966667,-79.533333,Tyler
369,1990,-6.315278,155.496389,Tyler
369,1992,-6.213186,155.53674,Tyler
370,1989,46,25,Helge Holtermann
371,1990,29.369722,47.978333,Tyler
372,1990,15.91666698,2.400000095,Helge Holtermann
372,1994,16.26666641,-0.050000001,Helge Holtermann
372,2007,19.96,2.86,Johan Dittrich Hallberg
372,2012,19.461389,0.858889,Tyler
372,2014,18.441111,1.407778,Tyler
373,1994,19.0625,8.42,Tyler
374,1990,-1.5,30.17000008,Helge Holtermann
374,1996,-1.75,29.5,Tyler
374,2009,-0.666667,28.75,Tyler
374,2016,-1.14316,28.902785,Tyler
374,2019,-1.398889,28.813333,Tyler
374,2022,-1.52766,29.34873,Tyler
375,1990,12.75,-15.5,Helge Holtermann
375,1992,12.403611,-16.411389,Tyler
375,1995,12.407778,-16.52,Tyler
375,1997,12.373056,-16.558611,Tyler
375,2000,13.583333,-13.966667,Tyler
375,2003,12.382222,-16.748333,Tyler
375,2011,12.963056,-16.181944,Tyler
376,1990,40.39527893,49.88222122,Helge Holtermann
377,1990,40.39527893,49.88222122,Helge Holtermann
378,1990,10.64999962,-61.51666641,Helge Holtermann
379,1991,11.78527737,42.88444519,Helge Holtermann
379,1999,11.97299957,43.02600098,Helge Holtermann
380,1991,41.72499847,44.79079819,Helge Holtermann
381,1989,18.53919983,-72.33499908,Helge Holtermann
381,1991,18.53917,-72.335,Tyler
381,2004,19.45000076,-72.6832962,Helge Holtermann
382,1991,8.170000076,-10.75,Helge Holtermann
383,1991,41.013611,28.955,Tyler
383,2000,39.357826,39.216282,Tyler
383,2005,39.36027908,39.22138977,Helge Holtermann
383,2016,39.911652,32.840305,Tyler
384,1991,46.25,15.17000008,Helge Holtermann
385,1991,45.40000153,17.79999924,Helge Holtermann
386,1991,33.33332825,6.883333206,Helge Holtermann
386,2020,36.8,6.15,Tyler
387,1991,-5,12.5,Helge Holtermann
387,1994,-5,12.5,Helge Holtermann
387,2002,-5,12.5,Helge Holtermann
387,2007,-5.08,12.49,Johan Dittrich Hallberg
387,2009,-5,12.5,Tyler
387,2016,-4.833333,12.5,Tyler
387,2019,-4.833333,12.5,Tyler
387,2022,-5,12.5,Tyler
388,1991,39.81744,46.75318,Tyler
388,1997,40.195584,46.673951,Tyler
388,2005,40,46.58332825,Helge Holtermann
388,2008,41,45.75,Tyler
388,2012,40.916667,45.166667,Tyler
388,2014,40.12626,47.025238,Tyler
388,2020,40.908889,45.558333,Tyler
389,1992,44.29999924,17.79999924,Helge Holtermann
390,1992,45.45000076,17.91670036,Helge Holtermann
391,1993,30.05,31.25,Helge Holtermann
391,2014,31.216297,34.110742,Tyler
391,2017,30.05,31.25,Tyler
392,1992,43.00299835,41.01499939,Helge Holtermann
393,1992,42.33330154,44,Helge Holtermann
393,2004,42.23249817,43.97499847,Helge Holtermann
393,2008,42.23,43.97,Johan Dittrich Hallberg
394,1992,47.26305389,29.16083336,Helge Holtermann
395,1992,37.75,68.66999817,Helge Holtermann
395,2000,38.867761,69.96642,Tyler
395,2010,39.23491,70.35998,Tyler
396,1993,40.6827774,46.36055374,Helge Holtermann
396,1995,40.39528,49.88222,Tyler
397,1993,44.76887894,15.94079971,Helge Holtermann
398,1992,43.9625,17.898333,Tyler
399,1993,55.75220108,37.61560059,Helge Holtermann
399,2023,50.75,37.5,Tyler
400,1994,16.75,-92.6333313,Helge Holtermann
400,1996,16.5,-92.5,Tyler
401,1994,43.29999924,45.70000076,Helge Holtermann
401,1999,42.65999985,46.22000122,Helge Holtermann
402,1994,15.66300011,43.94400024,Helge Holtermann
403,1995,-3.472226,-78.214818,Tyler
404,1990,24.86666679,67.05000305,Helge Holtermann
404,1994,24.86,67.01,Tyler
404,2007,34.93,72.42,Johan Dittrich Hallberg
405,1996,4.688972,8.668491,Tyler
406,1995,23,13,Helge Holtermann
407,1997,-12.16279984,44.39640045,Helge Holtermann
408,1993,-4.259200096,15.28470039,Helge Holtermann
408,1997,-4.259200096,15.28470039,Helge Holtermann
408,2002,-4.259200096,15.28470039,Helge Holtermann
408,2016,-4.414849,14.025276,Tyler
409,1998,13.49667,39.47528,Tyler
410,1998,11.85000038,-15.58329964,Helge Holtermann
411,1998,-29.5,28.25,Helge Holtermann
